node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius R G B time age type organ 
0 1 1 100.0000 100.0000 -3.0000 99.9747 100.1947 -3.1548 0.1844 0.6000 0.2000 0.2000 0.0451 180.0000 1 2 
1 2 1 99.9747 100.1947 -3.1548 99.9502 100.3899 -3.3090 0.1844 0.6000 0.2000 0.2000 0.0902 180.0000 1 2 
2 3 1 99.9502 100.3899 -3.3090 99.9304 100.5796 -3.4706 0.1844 0.6000 0.2000 0.2000 0.1354 180.0000 1 2 
3 4 1 99.9304 100.5796 -3.4706 99.9153 100.7499 -3.6531 0.1844 0.6000 0.2000 0.2000 0.1807 180.0000 1 2 
4 5 1 99.9153 100.7499 -3.6531 99.8979 100.9190 -3.8363 0.1844 0.6000 0.2000 0.2000 0.2261 180.0000 1 2 
5 6 1 99.8979 100.9190 -3.8363 99.8822 101.0856 -4.0221 0.1844 0.6000 0.2000 0.2000 0.2715 180.0000 1 2 
6 7 1 99.8822 101.0856 -4.0221 99.8704 101.2537 -4.2067 0.1844 0.6000 0.2000 0.2000 0.3170 180.0000 1 2 
7 8 1 99.8704 101.2537 -4.2067 99.8583 101.4172 -4.3955 0.1844 0.6000 0.2000 0.2000 0.3626 180.0000 1 2 
8 9 1 99.8583 101.4172 -4.3955 99.8497 101.5792 -4.5857 0.1844 0.6000 0.2000 0.2000 0.4082 180.0000 1 2 
9 10 1 99.8497 101.5792 -4.5857 99.8369 101.7466 -4.7710 0.1844 0.6000 0.2000 0.2000 0.4539 180.0000 1 2 
10 11 1 99.8369 101.7466 -4.7710 99.8237 101.9128 -4.9572 0.1844 0.6000 0.2000 0.2000 0.4997 180.0000 1 2 
11 12 1 99.8237 101.9128 -4.9572 99.8177 102.0791 -5.1438 0.1844 0.6000 0.2000 0.2000 0.5456 180.0000 1 2 
12 13 1 99.8177 102.0791 -5.1438 99.8044 102.2457 -5.3297 0.1844 0.6000 0.2000 0.2000 0.5915 180.0000 1 2 
13 14 1 99.8044 102.2457 -5.3297 99.7958 102.4093 -5.5186 0.1844 0.6000 0.2000 0.2000 0.6375 180.0000 1 2 
14 15 1 99.7958 102.4093 -5.5186 99.8098 102.5595 -5.7179 0.1844 0.6000 0.2000 0.2000 0.6836 180.0000 1 2 
15 16 1 99.8098 102.5595 -5.7179 99.8293 102.6926 -5.9286 0.1844 0.6000 0.2000 0.2000 0.7298 180.0000 1 2 
16 17 1 99.8293 102.6926 -5.9286 99.8363 102.8195 -6.1439 0.1844 0.6000 0.2000 0.2000 0.7760 180.0000 1 2 
17 18 1 99.8363 102.8195 -6.1439 99.8432 102.9460 -6.3594 0.1844 0.6000 0.2000 0.2000 0.8223 180.0000 1 2 
18 19 1 99.8432 102.9460 -6.3594 99.8423 103.0694 -6.5768 0.1844 0.6000 0.2000 0.2000 0.8687 180.0000 1 2 
19 20 1 99.8423 103.0694 -6.5768 99.8271 103.1846 -6.7982 0.1844 0.6000 0.2000 0.2000 0.9152 180.0000 1 2 
20 21 1 99.8271 103.1846 -6.7982 99.8271 103.1846 -6.7982 0.1844 0.6000 0.2000 0.2000 0.9152 180.0000 1 2 
21 22 1 99.8271 103.1846 -6.7982 99.8069 103.3008 -7.0186 0.1844 0.6000 0.2000 0.2000 0.9617 180.0000 1 2 
